epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.0305,1.14697,0.83749,0.99077,0.46293,0.00332108,0.00332108,0.00332108
2,42.2031,0.52461,0.8855,0.99631,0.30652,0.00658853,0.00658853,0.00658853
3,59.3291,0.45317,0.89474,0.99723,0.31404,0.00978999,0.00978999,0.00978999
4,76.7744,0.49615,0.88089,0.99354,0.36928,0.009703,0.009703,0.009703
5,93.1558,0.37148,0.93075,0.99631,0.26938,0.009604,0.009604,0.009604
6,111.683,0.31529,0.95199,0.99908,0.14081,0.009505,0.009505,0.009505
7,129.623,0.26088,0.93906,0.99631,0.20289,0.009406,0.009406,0.009406
8,148.065,0.25894,0.94275,0.99723,0.1826,0.009307,0.009307,0.009307
9,165.251,0.23521,0.94552,0.99723,0.21153,0.009208,0.009208,0.009208
10,183.558,0.21874,0.9446,0.99815,0.17911,0.009109,0.009109,0.009109
11,200.651,0.19768,0.97138,0.99815,0.11741,0.00901,0.00901,0.00901
12,218.487,0.20605,0.95845,0.99815,0.15017,0.008911,0.008911,0.008911
13,235.722,0.18612,0.95106,0.99908,0.21057,0.008812,0.008812,0.008812
14,253.556,0.16113,0.95937,0.99908,0.14008,0.008713,0.008713,0.008713
15,270.993,0.17098,0.96122,0.99631,0.13269,0.008614,0.008614,0.008614
16,289.412,0.15629,0.9723,0.99815,0.10908,0.008515,0.008515,0.008515
17,306.422,0.14624,0.9603,0.99723,0.12682,0.008416,0.008416,0.008416
18,324.571,0.14143,0.97322,0.99723,0.09102,0.008317,0.008317,0.008317
19,342.046,0.13753,0.97969,0.99723,0.08327,0.008218,0.008218,0.008218
20,358.709,0.12856,0.97415,0.99723,0.10015,0.008119,0.008119,0.008119
21,376.042,0.12361,0.9723,0.99631,0.10522,0.00802,0.00802,0.00802
22,392.628,0.13509,0.96768,0.99631,0.11251,0.007921,0.007921,0.007921
23,409.638,0.1269,0.97692,0.99723,0.09003,0.007822,0.007822,0.007822
24,426.475,0.11533,0.97415,0.99815,0.10051,0.007723,0.007723,0.007723
25,443.334,0.11166,0.97322,0.99815,0.09976,0.007624,0.007624,0.007624
26,460.627,0.11104,0.97784,0.99723,0.08156,0.007525,0.007525,0.007525
27,476.74,0.10611,0.97322,0.99723,0.1103,0.007426,0.007426,0.007426
28,494.065,0.09954,0.98061,0.99631,0.08018,0.007327,0.007327,0.007327
29,511.285,0.09725,0.97784,0.99815,0.08813,0.007228,0.007228,0.007228
