epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.75,1.42274,0.76454,0.97876,0.7953,0.00332108,0.00332108,0.00332108
2,36.5058,0.76592,0.8301,0.99169,0.46651,0.00658853,0.00658853,0.00658853
3,54.2422,0.52013,0.90212,0.99354,0.32653,0.00978999,0.00978999,0.00978999
4,66.7355,0.4052,0.9132,0.99908,0.24637,0.009703,0.009703,0.009703
5,81.9971,0.29174,0.94275,0.99538,0.22567,0.009604,0.009604,0.009604
6,96.9194,0.25004,0.9409,0.99908,0.17116,0.009505,0.009505,0.009505
7,111.822,0.22056,0.95014,0.99908,0.15098,0.009406,0.009406,0.009406
8,126.417,0.19555,0.9723,0.99908,0.10642,0.009307,0.009307,0.009307
9,141.982,0.18037,0.97045,0.99723,0.1112,0.009208,0.009208,0.009208
10,156.352,0.17026,0.95937,0.99815,0.12882,0.009109,0.009109,0.009109
11,172.471,0.15535,0.97599,0.99908,0.10313,0.00901,0.00901,0.00901
12,188.32,0.149,0.96861,0.99908,0.11222,0.008911,0.008911,0.008911
13,201.316,0.13889,0.96861,0.99908,0.10399,0.008812,0.008812,0.008812
14,216.99,0.1214,0.96584,0.99908,0.12733,0.008713,0.008713,0.008713
15,231.622,0.12207,0.97784,0.99908,0.0891,0.008614,0.008614,0.008614
16,245.609,0.1124,0.97045,0.99815,0.10801,0.008515,0.008515,0.008515
17,261.894,0.10661,0.97599,0.99723,0.0866,0.008416,0.008416,0.008416
18,277.264,0.09982,0.97969,0.99815,0.08085,0.008317,0.008317,0.008317
19,293.251,0.10333,0.97784,0.99908,0.08483,0.008218,0.008218,0.008218
20,311.379,0.09861,0.9723,0.99723,0.11339,0.008119,0.008119,0.008119
21,327.934,0.09445,0.97784,0.99908,0.09279,0.00802,0.00802,0.00802
22,344.15,0.09439,0.98246,0.99815,0.08561,0.007921,0.007921,0.007921
23,359.601,0.08164,0.9843,0.99908,0.07702,0.007822,0.007822,0.007822
24,375.319,0.08037,0.97784,1,0.09665,0.007723,0.007723,0.007723
25,388.729,0.07655,0.97507,1,0.09825,0.007624,0.007624,0.007624
26,405.329,0.07905,0.98061,0.99908,0.0868,0.007525,0.007525,0.007525
27,418.652,0.06637,0.97692,1,0.10656,0.007426,0.007426,0.007426
28,436.58,0.06885,0.97599,0.99908,0.08776,0.007327,0.007327,0.007327
29,453.356,0.06955,0.98153,0.99908,0.09176,0.007228,0.007228,0.007228
30,466.368,0.06939,0.98153,0.99908,0.10028,0.007129,0.007129,0.007129
31,480.784,0.06735,0.98246,0.99815,0.09776,0.00703,0.00703,0.00703
32,495.956,0.06805,0.98338,0.99908,0.09287,0.006931,0.006931,0.006931
33,511.81,0.06107,0.98061,0.99908,0.09316,0.006832,0.006832,0.006832
34,528.039,0.05586,0.97876,0.99908,0.08466,0.006733,0.006733,0.006733
35,544.147,0.05813,0.98246,0.99908,0.08737,0.006634,0.006634,0.006634
36,557.719,0.0579,0.97876,0.99908,0.10167,0.006535,0.006535,0.006535
37,572.616,0.05824,0.97969,0.99908,0.09773,0.006436,0.006436,0.006436
38,588.439,0.0602,0.97692,1,0.09219,0.006337,0.006337,0.006337
39,602.892,0.05933,0.98338,1,0.08981,0.006238,0.006238,0.006238
40,616.116,0.05419,0.97969,0.99908,0.10375,0.006139,0.006139,0.006139
41,632.544,0.04918,0.97876,1,0.10747,0.00604,0.00604,0.00604
42,647.537,0.04823,0.97784,1,0.10152,0.005941,0.005941,0.005941
43,660.941,0.04296,0.98153,1,0.08276,0.005842,0.005842,0.005842
44,675.072,0.05256,0.98061,1,0.08275,0.005743,0.005743,0.005743
45,690.037,0.05064,0.97876,1,0.09943,0.005644,0.005644,0.005644
46,706.656,0.04964,0.98246,1,0.08941,0.005545,0.005545,0.005545
47,723.027,0.04629,0.9843,1,0.08051,0.005446,0.005446,0.005446
48,736.052,0.04507,0.98246,1,0.09223,0.005347,0.005347,0.005347
49,749.067,0.05003,0.98153,1,0.08649,0.005248,0.005248,0.005248
50,764.183,0.04338,0.9843,1,0.0969,0.005149,0.005149,0.005149
51,780.633,0.04183,0.98338,0.99908,0.09111,0.00505,0.00505,0.00505
52,796.972,0.04426,0.98338,0.99908,0.08541,0.004951,0.004951,0.004951
53,814.443,0.04228,0.98523,0.99908,0.09337,0.004852,0.004852,0.004852
54,827.055,0.04499,0.98338,0.99908,0.09514,0.004753,0.004753,0.004753
55,841.139,0.03736,0.9843,0.99723,0.0974,0.004654,0.004654,0.004654
56,856.374,0.03928,0.98523,1,0.10104,0.004555,0.004555,0.004555
57,870.79,0.03621,0.98153,0.99815,0.1031,0.004456,0.004456,0.004456
58,885.239,0.03827,0.98061,1,0.09945,0.004357,0.004357,0.004357
59,901.212,0.03763,0.98061,0.99908,0.08884,0.004258,0.004258,0.004258
60,916.978,0.03388,0.98061,1,0.09351,0.004159,0.004159,0.004159
61,931.601,0.03796,0.98338,1,0.09731,0.00406,0.00406,0.00406
62,947.221,0.03901,0.98338,0.99908,0.09125,0.003961,0.003961,0.003961
63,961.874,0.03539,0.98338,1,0.09076,0.003862,0.003862,0.003862
64,976.891,0.0307,0.98338,1,0.09489,0.003763,0.003763,0.003763
65,991.562,0.03344,0.98338,1,0.0967,0.003664,0.003664,0.003664
66,1008.3,0.03541,0.98153,0.99908,0.09829,0.003565,0.003565,0.003565
67,1025.42,0.03112,0.98338,0.99908,0.08845,0.003466,0.003466,0.003466
68,1038.17,0.02815,0.98338,0.99908,0.0909,0.003367,0.003367,0.003367
69,1053.81,0.03317,0.98246,0.99908,0.08728,0.003268,0.003268,0.003268
70,1067.96,0.03259,0.98153,0.99908,0.08687,0.003169,0.003169,0.003169
71,1082.03,0.03139,0.98061,0.99908,0.08968,0.00307,0.00307,0.00307
72,1096.02,0.02641,0.98246,0.99908,0.0906,0.002971,0.002971,0.002971
73,1110.73,0.02455,0.98246,0.99908,0.09293,0.002872,0.002872,0.002872
74,1127.36,0.02851,0.98246,0.99908,0.09131,0.002773,0.002773,0.002773
75,1142.86,0.02801,0.98246,0.99908,0.09363,0.002674,0.002674,0.002674
76,1158.23,0.02446,0.9843,0.99908,0.09103,0.002575,0.002575,0.002575
77,1172.44,0.02235,0.9843,0.99908,0.09279,0.002476,0.002476,0.002476
78,1186.94,0.02314,0.98153,1,0.09248,0.002377,0.002377,0.002377
79,1203.72,0.02781,0.9843,1,0.08833,0.002278,0.002278,0.002278
80,1215.5,0.02611,0.9843,1,0.08879,0.002179,0.002179,0.002179
81,1230.08,0.02246,0.9843,1,0.09121,0.00208,0.00208,0.00208
82,1243.72,0.02009,0.98523,0.99908,0.09177,0.001981,0.001981,0.001981
83,1260.6,0.02127,0.98338,1,0.0946,0.001882,0.001882,0.001882
84,1276.5,0.02148,0.98246,0.99908,0.09467,0.001783,0.001783,0.001783
